repo, bugs, ossf score, complex functions, total functions
Blizzard/s2client-api,80,6.5,410,4759
confluentinc/librdkafka,78,8.8,335,1851
POV-Ray/povray,78,4.3,220,1324
curv3d/curv,77,5,204,2598
NREL/EnergyPlus,77,5.6,187,2505
galkahana/HummusJS,75,5.4,268,2453
fogleman/Craft,75,6.4,225,2427
CloudCompare/CloudCompare,75,5.7,221,974
ermig1979/Simd,73,5.4,482,5865
distcc/distcc,73,6.3,65,502
Siv3D/OpenSiv3D,73,4.7,1386,16633
Gargaj/Bonzomatic,73,4.9,175,1985
colmap/colmap,72,6.4,108,1568
alibaba/AliOS-Things,70,5,701,5958
DeaDBeeF-Player/deadbeef,70,6,419,1793
facebook/hermes,69,6.2,626,5449
colobot/colobot,69,5.5,263,2564
0ad/0ad,69,5.7,246,1770
moai/moai-dev,68,5,522,4623
Aloshi/EmulationStation,68,6.4,52,1253
DefTruth/lite.ai.toolkit,66,4.3,21,1148
LouisBrunner/valgrind-macos,65,5.9,1123,7840
floooh/sokol,62,6.4,336,1389
danmar/cppcheck,62,6.1,489,2453
arangodb/arangodb,61,5.9,276,2470
ComodoSecurity/openedr,60,5.5,258,2829
godlikepanos/anki-3d-engine,59,2.9,903,8786
cmusphinx/pocketsphinx,58,6.3,149,1210
LibVNC/libvncserver,58,7.3,79,492
AlexandreRouma/SDRPlusPlus,58,5.5,146,1602
facebook/mysql-5.6,57,8.3,93,1059
coolsnowwolf/lede,57,5.5,86,437
Z3Prover/z3,56,7.3,755,13713
dog-qiuqiu/MobileNet-Yolo,55,5.5,70,755
RoaringBitmap/CRoaring,55,6.3,50,686
ProtonVPN/android-app,55,6.2,667,3584
dankamongmen/notcurses,54,6.7,189,1085
alliedmodders/sourcemod,53,6.3,133,625
WAVM/WAVM,53,5.5,113,3820
capnproto/capnproto,52,7.3,271,4730
USCiLab/cereal,52,5.8,3,30
SRombauts/SQLiteCpp,52,7.5,438,3709
PJLab-ADG/SensorsCalibration,52,6.7,60,614
alibaba/MNN,51,4.5,393,4149
akumuli/Akumuli,51,5.6,104,1301
DFHack/dfhack,51,5.6,275,4539
geany/geany,50,7,530,5489
axiomatic-systems/Bento4,50,5.2,109,1147
SoftEtherVPN/SoftEtherVPN,50,5.3,339,4558
AcademySoftwareFoundation/openexr,49,8,242,1824
davidmoreno/onion,48,7.3,82,440
curl/curl,48,7,339,1877
can1357/NoVmp,47,5.9,244,3440
ShadowsocksR-Live/shadowsocksr-native,47,5.1,260,2545
cemu-project/Cemu,46,6.3,773,10099
apache/arrow,46,7.8,295,3163
alibaba/AliSQL,46,6,895,6040
bytedance/terarkdb,45,5.2,357,4947
PureDarwin/PureDarwin,45,5.4,54,551
helloexp/0day,44,4.8,407,1752
glfw/glfw,44,6.7,40,538
cariboulabs/cariboulite,43,6.8,384,1230
decaf-emu/decaf-emu,42,4.8,492,5405
AcademySoftwareFoundation/MaterialX,42,6.8,101,1143
alandefreitas/matplotplusplus,41,5.6,40,611
WebAssembly/wabt,41,6.4,87,1700
AtomicGameEngine/AtomicGameEngine,41,4.2,482,3786
0xnobody/vmpdump,41,5.6,241,3417
0vercl0k/wtf,41,5.2,80,995
cmu-db/bustub,40,7.4,135,2108
clangen/musikcube,40,6.7,275,3303
TheAlgorithms/C,40,6.8,18,442
REDasmOrg/REDasm,40,3.9,158,2959
KhronosGroup/glslang,40,7.4,229,1344
dibyendumajumdar/ravi,39,4.4,575,5495
brainflow-dev/brainflow,38,4.4,59,1385
cycfi/q,37,4.8,44,391
allinurl/goaccess,37,7.4,42,856
RavenSystem/esp-homekit-devices,37,7.3,404,3038
FirebirdSQL/firebird,37,5,89,978
ErosZy/WXInlinePlayer,37,4.8,116,802
saki4510t/UVCCamera,36,5.8,104,549
gosu/gosu,36,5.1,102,660
effekseer/Effekseer,36,5.2,38,806
cisco/openh264,36,6,328,1575
athena-team/athena,36,7.1,90,1321
apache/trafficserver,36,8.1,1562,9844
apache/brpc,36,7.7,173,2457
Sunzxyong/Tiny,36,5,105,551
doctest/doctest,35,5.8,25,412
akai-katto/dandere2x,35,5.8,1,144
InteractiveComputerGraphics/SPlisHSPlasH,35,5,261,2092
GNOME/glib,35,8.1,1449,12258
ARM-software/armnn,35,6.2,106,1340
angband/angband,34,5.2,351,3252
RetroShare/RetroShare,34,7.1,161,3483
PixarAnimationStudios/OpenSubdiv,34,6.9,78,754
NVIDIA/libcudacxx,34,7.1,35,540
karlstav/cava,33,6.3,13,48
erincatto/box2d,33,6.5,110,1279
IoLanguage/io,33,5.3,49,890
chocolate-doom/chocolate-doom,32,7.4,288,3458
chenyahui/AnnotatedCode,32,4.8,356,2737
PowerDNS/pdns,32,7.3,257,2530
Blosc/c-blosc,32,7.4,179,1200
gperftools/gperftools,31,5.9,59,855
lakinduakash/linux-wifi-hotspot,30,5,3,42
facebook/redex,30,5.8,1,44
elfmz/far2l,30,5.8,224,2314
apple/swift-llbuild,30,8.3,128,1685
ZDoom/gzdoom,30,5,164,1013
Ewenwan/MVision,30,4.8,38,277
google/flatbuffers,29,8.8,136,1242
citusdata/citus,29,8.4,622,3499
berthubert/googerteller,29,5,2,20
NatronGitHub/Natron,29,6.8,558,7124
KiCad/kicad-source-mirror,29,4.7,127,2766
DynamoRIO/dynamorio,29,5.6,577,4319
google/swiftshader,28,7.6,2587,23945
dvorka/hstr,28,7,16,78
alibaba/GCanvas,28,6.1,31,400
Tencent/TNN,28,5.1,227,2137
ardera/flutter-pi,27,5.8,29,306
anhttran/3dmm_cnn,27,5.5,45,708
aiekick/ImGuiFileDialog,27,5.3,159,1782
JoeyDeVries/LearnOpenGL,27,7.4,8,367
InteractiveComputerGraphics/PositionBasedDynamics,27,4.8,177,1683
FLIF-hub/FLIF,27,6.2,49,269
ARMmbed/mbed-os,27,6.4,57,1081
LizardByte/Sunshine,26,6.5,57,671
LiteOS/LiteOS,26,6,182,1487
LibrePCB/LibrePCB,26,7.2,225,3850
FreeRDP/FreeRDP,26,8.4,276,1991
gnss-sdr/gnss-sdr,25,5.2,284,2918
cubefs/cubefs,25,4.9,225,3493
Tencent/MMKV,25,7.6,40,1022
GarageGames/Torque2D,25,4.9,19,142
Blosc/bcolz,25,5.2,74,709
guanzhi/GmSSL,24,5.5,263,1604
felixguendling/cista,24,5.5,2,46
cycfi/elements,24,4.6,6,333
WayneD/rsync,24,6.8,171,716
SanderMertens/flecs,24,6.2,735,4291
OpenAtomFoundation/TencentOS-tiny,24,5.7,19,1153
OSGeo/PROJ,24,6.1,230,2375
ccache/ccache,23,7.5,164,855
Project-OSRM/osrm-backend,23,5.8,124,1365
guillaumeblanc/ozz-animation,22,4.7,550,2717
google/re2,22,7.6,59,621
fossephate/JoyCon-Driver,22,5.2,182,1284
danielkrupinski/Osiris,22,5.8,127,1183
apache/incubator-kvrocks,22,7.4,520,6339
anbox/anbox,22,6.2,19,640
TrueBlocks/trueblocks-core,22,5.8,291,3891
Tencent/ncnn,22,6.1,217,932
PurpleI2P/i2pd,22,7,114,1356
google/sentencepiece,21,6.9,51,751
facontidavide/PlotJuggler,21,6.3,100,3330
facebookresearch/nle,21,6.5,754,3260
apache/thrift,21,7.1,257,3085
BinomialLLC/basis_universal,21,5.9,223,1211
gqrx-sdr/gqrx,20,5.9,19,450
eigenteam/eigen-git-mirror,20,6.4,46,732
aircrack-ng/aircrack-ng,20,7.2,167,928
Tencent/libco,20,6.5,2,90
SOCI/soci,20,6.4,26,771
harfbuzz/harfbuzz,19,5.7,175,957
google/orbit,19,5.9,53,1134
arkdb/inception,19,6.4,20,435
abseil/abseil-cpp,19,8.7,48,1036
Syllo/nvtop,19,6.8,34,141
Snaipe/Criterion,19,6,75,475
Smorodov/Multitarget-tracker,19,5.2,104,971
OpenVPN/openvpn,19,5.7,459,1559
LibreSprite/LibreSprite,19,6.8,544,4255
DaveGamble/cJSON,19,7.1,17,239
glennrp/libpng,18,7.3,265,1683
flutter/codelabs,18,8,2565,11502
boazsegev/facil.io,18,6.4,26,486
greenplum-db/gpdb,17,7,42,3395
facebook/zstd,17,9.1,451,2270
Meituan-Dianping/Logan,17,6.4,115,935
foonathan/memory,16,6.2,38,260
cryfs/cryfs,16,6.3,91,2423
cisco/joy,16,5,94,725
audacity/audacity,16,6.5,39,577
Tracktion/tracktion_engine,16,5.2,0,38
TH3xACE/SUDO_KILLER,16,6.2,200,838
SVF-tools/SVF,16,6.5,136,1295
OpenIDC/mod_auth_openidc,16,6.2,245,529
MusicPlayerDaemon/MPD,16,7.4,26,2634
canonical/raft,15,7.1,51,454
algorand/go-algorand,15,6.1,54,492
ValveSoftware/vogl,15,6.7,354,2659
Samsung/rlottie,15,7.1,22,438
GarageGames/Torque3D,15,5,296,1995
esnet/iperf,14,8.3,38,244
cathugger/mkp224o,14,7.1,3,37
buaazp/zimg,14,5.5,39,343
bareos/bareos,14,7.4,20,591
TheTumultuousUnicornOfDarkness/CPU-X,14,5.4,27,350
NagyD/SDLPoP,14,7.3,80,706
LiquidPlayer/LiquidCore,14,4.4,112,1460
IntelLabs/control-flag,14,5.9,10,86
Harvey-OS/harvey,14,5.6,16,100
0intro/plan9,14,6.3,16,100
hackerschoice/gsocket,13,5.8,71,357
facebookresearch/ELF,13,7,15,245
electronicarts/EASTL,13,7,85,986
doxygen/doxygen,13,6.1,236,2870
digego/extempore,13,4.2,41,252
c3lang/c3c,13,5.5,254,1599
bitcoin/bitcoin,13,8.9,82,884
bitcoin-core/secp256k1,13,8.9,66,243
bcosorg/bcos,13,5.3,48,1280
arximboldi/immer,13,6.7,16,288
Bitcoin-ABC/bitcoin-abc,13,6.2,60,289
Bionus/imgbrd-grabber,13,5.1,249,2371
facebook/yoga,12,6.7,43,807
erwincoumans/tiny-differentiable-simulator,12,4.8,27,299
cxasm/notepad--,12,6.2,321,2901
boostorg/beast,12,6.5,69,973
XRPLF/rippled,12,8.1,30,108
Tencent/xLua,12,4.5,32,1483
Roblox/luau,12,7,619,4581
RavenProject/Ravencoin,12,5.7,53,237
PortAudio/portaudio,12,7.2,68,428
Mbed-TLS/mbedtls,12,9.4,234,1636
AntiMicroX/antimicrox,12,5.5,88,1194
vergecurrency/verge,11,5.4,63,269
idealvin/coost,11,6.1,34,390
ggerganov/imtui,11,4.4,118,788
duncanthrax/scream,11,4.3,4,15
dogecoin/dogecoin,11,6.8,53,746
avast/retdec,11,5.7,125,3654
Sapd/HeadsetControl,11,6.6,3,71
PDAL/PDAL,11,6,75,1700
HardySimpson/zlog,11,7.3,16,169
Haivision/srt,11,6.2,59,619
FASTSHIFT/X-TRACK,11,5.1,191,1346
ElementsProject/elements,11,8.9,84,886
BitFunnel/NativeJIT,11,6.2,18,227
AprilRobotics/apriltag,11,6.4,28,243
ggerganov/ggwave,10,6,99,793
ceres-solver/ceres-solver,10,6.1,248,1983
atomvm/AtomVM,10,7.2,18,341
andlabs/libui,10,5.8,0,274
Tencent/sluaunreal,10,6.3,15,742
SuperTux/supertux,10,6,106,2814
Provenance-Emu/Provenance,10,4.6,133,853
KwaiAppTeam/KOOM,10,5.2,7,367
KikoPlayProject/KikoPlay,10,6.1,112,2206
Cockatrice/Cockatrice,10,6.1,36,1285
BrunoLevy/learn-fpga,10,6.5,60,534
Bareflank/hypervisor,10,5.2,2,47
gsliepen/tinc,9,5.8,101,786
google/zopfli,9,7.3,47,319
dariomanesku/cmftStudio,9,6.2,1,4
capstone-engine/capstone,9,5.7,72,954
beark/ftl,9,6.3,0,72
badaix/snapcast,9,5.7,20,324
arvidn/libtorrent,9,6.8,211,2262
ariya/phantomjs,9,5.2,16,304
VirusTotal/yara,9,5.6,95,678
LeelaChessZero/lc0,9,7.7,42,409
Genivia/ugrep,9,6,101,286
fmtlib/fmt,8,7.2,8,428
flameshot-org/flameshot,8,6.3,16,883
dgiese/dustcloud,8,5.8,20,192
aws/aws-iot-device-sdk-embedded-C,8,6.5,282,1743
apple/swift-corelibs-libdispatch,8,8.4,34,516
VowpalWabbit/vowpal_wabbit,8,4,145,1616
Studio3T/robomongo,8,5.5,247,1453
OpenEtherCATsociety/SOEM,8,5.7,36,143
JSBSim-Team/jsbsim,8,6.1,88,1192
CloverHackyColor/CloverBootloader,8,4.8,24,268
7thSamurai/steganography,8,6.2,17,149
osmc/osmc,7,6.4,30,201
hpjansson/chafa,7,7.2,86,889
h2o/h2o,7,7.4,92,424
google/brotli,7,8.1,32,298
gbdev/rgbds,7,4.3,60,420
fetlang/fetlang,7,5.1,9,128
eranpeer/FakeIt,7,6.2,4,199
equalsraf/neovim-qt,7,5.6,30,501
dealii/dealii,7,8.5,815,5962
boost-ext/di,7,3.8,3,479
babelouest/ulfius,7,6.7,41,225
asmuth/clip,7,6.4,9,456
alibaba/ilogtail,7,5.7,179,1160
ValveSoftware/GameNetworkingSockets,7,5.9,123,713
PCSX2/pcsx2,7,6.4,17,135
KDE/latte-dock,7,7.2,59,1728
EliasOenal/multimon-ng,7,4.9,43,147
Awesome-HarmonyOS/HarmonyOS,7,6.1,138,1088
AcademySoftwareFoundation/openvdb,7,7.7,17,284
vstakhov/libucl,6,7.5,60,241
meganz/MEGAcmd,6,7.6,350,3588
libexpat/libexpat,6,8.3,27,296
ggerganov/whisper.cpp,6,5.9,33,236
TheAlgorithms/C-Plus-Plus,6,6.8,17,996
Tessil/robin-map,6,6,0,3
Tencent/mars,6,6,227,1335
RainerKuemmerle/g2o,6,5.8,39,580
KDE/krita,6,6.8,1,3
KDE/heaptrack,6,5.9,0,3
ArthurSonzogni/Diagon,6,5.6,50,971
google/highway,5,8,15,214
google/draco,5,6.7,36,367
gnuradio/gnuradio,5,7.4,114,1979
gamelinux/passivedns,5,6.3,13,58
foonathan/cppast,5,6.7,50,490
facebook/hhvm,5,6,123,892
ethz-asl/okvis,5,6.1,11,156
eclipse/mosquitto,5,5.4,200,745
dev-cafe/cmake-cookbook,5,6.8,0,55
dblalock/bolt,5,6,17,65
crownengine/crown,5,4.4,7,150
cisco/libsrtp,5,7,21,227
c-ares/c-ares,5,9,52,616
bingoogolapple/BGAQRCode-Android,5,4.7,2,6
asterisk/asterisk,5,7.3,19,75
assimp/assimp,5,7.6,96,988
ammarahm-ed/react-native-mmkv-storage,5,6,8,182
ZLMediaKit/ZLToolKit,5,6.3,7,364
OpenRCT2/OpenRCT2,5,6.7,645,6846
NASA-SW-VnV/ikos,5,7,0,4
LongSoft/UEFITool,5,5.3,49,486
Lienol/openwrt,5,7.4,9,100
KDE/ghostwriter,5,4.4,49,329
FEX-Emu/FEX,5,7.5,0,55
Entware/Entware,5,6.4,9,104
CodingGay/BlackDex,5,5.2,12,85
AngoraFuzzer/Angora,5,6.5,30,499
AcademySoftwareFoundation/OpenColorIO,5,8.4,363,2828
mikke89/RmlUi,4,6.3,82,1095
google/marl,4,8.4,1,54
ggreer/the_silver_searcher,4,7.2,18,72
fragglet/c-algorithms,4,6,1,148
foonathan/type_safe,4,5.5,2,49
facebook/rocksdb,4,8.7,596,6870
emilk/loguru,4,7.4,1,26
eclipse/paho.mqtt.embedded-c,4,5.9,2,99
dougbinks/enkiTS,4,6.3,3,103
coqui-ai/STT,4,5.6,6,145
chris2511/xca,4,4.6,29,918
blechschmidt/massdns,4,6.8,6,57
arrayfire/arrayfire,4,6.7,208,3105
amadvance/snapraid,4,4.6,51,400
alexa/avs-device-sdk,4,6.9,2,33
albertlauncher/albert,4,7,7,264
abishekvashok/cmatrix,4,7.3,1,6
YosysHQ/nextpnr,4,6.3,7,299
XiaoMi/mace,4,2.9,26,380
ValveSoftware/openvr,4,5.4,16,575
RPCS3/rpcs3,4,6,12,191
BehaviorTree/BehaviorTree.CPP,4,6.3,10,281
Almamu/linux-wallpaperengine,4,6.3,7,162
grame-cncm/faust,3,4.4,2,62
google/mathfu,3,7,26,96
google/liquidfun,3,6.4,17,341
github/securitylab,3,8.1,4,313
fireice-uk/xmr-stak-cpu,3,6.6,3,108
farbrausch/fr_public,3,4.6,3,28
f4exb/sdrangel,3,6.5,349,5489
eventql/eventql,3,4.2,3,28
dmlc/xgboost,3,7.8,29,678
darktable-org/darktable,3,7.2,739,5277
cutelyst/cutelyst,3,5.9,55,647
commonmark/cmark,3,6.6,42,230
citp/BlockSci,3,6.5,226,3245
chriskohlhoff/asio,3,5.9,5,379
boostorg/hana,3,6.6,19,227
aria2/aria2,3,4.8,6,36
Tencent/Tendis,3,2.4,169,2724
SFML/SFML,3,5.7,18,506
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus,3,4.7,8,61
KjellKod/g3log,3,6.3,1,53
DanielChappuis/reactphysics3d,3,5.3,22,320
Cocos-BCX/cocos-mainnet,3,6.1,34,85
Cisco-Talos/clamav,3,7.7,32,145
Benjamin-Dobell/Heimdall,3,5,0,10
inotify-tools/inotify-tools,2,5,13,87
haikarainen/light,2,6.4,1,53
google/leveldb,2,8.2,27,637
google/gemmlowp,2,7.6,2,72
gnif/LookingGlass,2,6.1,176,589
fukuchi/libqrencode,2,5,9,166
fholger/openvr_fsr,2,3.2,24,645
emmericp/ixy,2,6.7,6,60
emcrisostomo/fswatch,2,4.4,1,79
embree/embree,2,6.4,18,295
drogonframework/drogon,2,7.1,89,882
crow-translate/crow-translate,2,5.5,6,287
cjdelisle/cjdns,2,6,37,323
cisco-system-traffic-generator/trex-core,2,5.9,15,344
chenshuo/muduo,2,6.7,10,720
banach-space/llvm-tutor,2,5.6,0,3
andrewrk/libsoundio,2,7.2,10,128
akheron/jansson,2,5.8,11,156
aguinet/wannakey,2,5.9,0,12
adnanaziz/EPIJudge,2,4.8,9,468
a2o/snoopy,2,3.6,3,165
ScanNet/ScanNet,2,5.8,2,23
ReimuNotMoe/ydotool,2,5.8,6,12
RaftLib/RaftLib,2,5.3,3,167
PyMesh/PyMesh,2,4.4,0,3
OpenRC/openrc,2,7.2,46,256
OpenHD/OpenHD,2,5.7,8,418
NLnetLabs/unbound,2,7.1,274,2390
LuxCoreRender/LuxCore,2,6.7,11,201
LukasBanana/LLGL,2,5.8,13,997
Kobzol/hardware-effects,2,5.9,0,34
JakubVojvoda/design-patterns-cpp,2,6.2,0,24
IronsDu/brynet,2,5.6,2,36
Icinga/icinga2,2,7.5,5,29
HKUST-Aerial-Robotics/VINS-Mobile,2,6,142,1293
Ableton/link,2,7,2,33
86Box/86Box,2,6.7,4,10
0x90/wifi-arsenal,2,4.8,5,79
happynear/caffe-windows,1,4.5,192,1210
griddb/griddb,1,5.2,3,35
grf-labs/grf,1,7.3,9,122
googleprojectzero/TinyInst,1,5.4,4,118
doyubkim/fluid-engine-dev,1,5,63,1538
docopt/docopt.cpp,1,7,2,23
dmlc/dmlc-core,1,6,2,54
dlundquist/sniproxy,1,6.3,11,177
dannagle/PacketSender,1,5.6,28,233
csmith-project/creduce,1,6.2,4,40
cockpit-project/cockpit,1,6.2,115,1273
cmu-sei/pharos,1,5.9,0,11
cboxdoerfer/fsearch,1,5.6,26,729
bombela/backward-cpp,1,7.8,0,5
andybarry/flight,1,5.2,0,3
alibaba/weex,1,5,16,334
alexgkendall/caffe-segnet,1,4.7,126,847
alecthomas/entityx,1,5.7,0,17
aksnzhy/xlearn,1,5.5,0,3
aerys/minko,1,5.2,0,3
WasmEdge/WasmEdge,1,7.1,24,578
Tencent/Hippy,1,5.9,234,976
Tencent/GameAISDK,1,4.3,12,243
TartanLlama/expected,1,6.7,1,2
Slackadays/Clipboard,1,5.8,4,157
SergiusTheBest/plog,1,6.4,3,40
MultiMC/Launcher,1,7.1,14,109
MhLiao/TextBoxes_plusplus,1,4.4,256,1342
MKXJun/DirectX11-With-Windows-SDK,1,5.1,87,935
Luwx/Lightly,1,6.5,42,373
LemonOSProject/LemonOS,1,4.8,18,258
KDAB/GammaRay,1,7.6,0,5
Hopson97/MineCraft-One-Week-Challenge,1,5.7,3,125
CobaltFusion/DebugViewPP,1,4.8,4,299
CLIUtils/CLI11,1,6.5,0,56
CE-Programming/CEmu,1,5.7,2,17
BVLC/caffe,1,5.4,163,1070
AshampooSystems/boden,1,4.9,9,250
AsPJT/DungeonTemplateLibrary,1,6.3,0,10
ArthurSonzogni/FTXUI,1,5.8,3,380
wazuh/wazuh,0,4.9,20,338
wang-xinyu/tensorrtx,0,7,1,145
reactos/reactos,0,4.8,3,61
huihut/interview,0,5.9,0,4
hanickadot/compile-time-regular-expressions,0,5.5,0,5
gulrak/filesystem,0,6,0,18
gsass1/NTop,0,6,3,50
greatscottgadgets/hackrf,0,6.1,7,376
googleprojectzero/winafl,0,6.2,38,151
google/snappy,0,8,10,214
google/skia,0,7.3,0,1
google/oboe,0,6.7,8,392
google/double-conversion,0,7.8,5,99
google/cpu_features,0,7.9,0,45
godotengine/godot-cpp,0,7.8,6,164
gflags/gflags,0,7,6,76
gem5/gem5,0,6.5,6,237
gaoxiang12/slambook2,0,6.6,0,4
gaoxiang12/slambook,0,5.8,0,9
gabime/spdlog,0,6.8,5,385
froghui/yolanda,0,6,7,132
flybywiresim/a32nx,0,5.7,52,512
flashlight/wav2letter,0,6.7,1,10
file/file,0,7.3,52,279
fholger/vrperfkit,0,4.6,7,354
fastos/fastsocket,0,6.2,0,36
facebookresearch/faiss,0,7.7,0,125
facebookincubator/spectrum,0,7,11,306
facebookincubator/gloo,0,8.4,13,140
facebookexperimental/libunifex,0,6.6,4,69
facebook/ThreatExchange,0,7.1,5,59
ethz-adrl/control-toolbox,0,5.3,0,22
espressif/esp-idf,0,5.8,0,1
espressif/ESP8266_RTOS_SDK,0,3.6,0,6
ericniebler/range-v3,0,6.3,4,316
eranif/codelite,0,5.5,3,185
emilybache/GildedRose-Refactoring-Kata,0,4.5,3,4
emil-e/rapidcheck,0,7.9,0,72
dresden-elektronik/deconz-rest-plugin,0,6.2,0,8
dpayne/cli-visualizer,0,6.7,3,65
dosbox-staging/dosbox-staging,0,6.6,272,3416
dolphin-emu/dolphin,0,8.2,139,410
dokan-dev/dokany,0,6.7,4,110
dmlc/decord,0,4.9,3,169
dji-sdk/Onboard-SDK,0,5.6,33,644
diasurgical/devilutionX,0,6,384,3810
davidrmiller/biosim4,0,5.2,12,83
crosire/blink,0,6.6,4,24
cpputest/cpputest,0,6.8,4,471
cossacklabs/themis,0,4.3,16,283
contour-terminal/contour,0,6.5,0,1
cocos2d/cocos2d-x,0,4.4,0,5
cocos/cocos-engine,0,4.7,13,400
cnr-isti-vclab/vcglib,0,5.1,0,3
clab/dynet,0,4.5,0,327
civetweb/civetweb,0,6.1,0,3
cinit/WSAPatch,0,6.5,0,8
chrisant996/clink,0,5.6,2,5
catchorg/Catch2,0,7,5,385
catboost/catboost,0,5.3,0,4
carla-simulator/carla,0,7.6,0,5
caozhiyi/CppNet,0,6.2,19,305
bytedance/bhook,0,6.9,19,186
butor/blackbird,0,6.6,1,106
bulletphysics/bullet3,0,5.6,0,34
bryanpkc/corkscrew,0,6.8,1,3
borglab/gtsam,0,6.5,34,225
