repo, bugs, ossf score, complex functions, total functions
GStreamer/gstreamer,1262,5.4,13763,71399
fontforge/fontforge,1169,6.4,1718,8506
baldurk/renderdoc,965,5.4,1180,10009
YannickJadoul/Parselmouth,721,5.5,2196,13653
IntelRealSense/librealsense,715,6.7,454,5813
JACoders/OpenJK,634,4.7,1618,11780
fluent/fluent-bit,580,6.2,2529,23091
fltk/fltk,561,7.3,276,3014
F-Stack/f-stack,551,6.7,2787,33539
RfidResearchGroup/proxmark3,479,6.7,1036,8546
BrunoLevy/geogram,463,5.5,1002,6679
bitnine-oss/agensgraph,461,5.8,3194,15814
InsightSoftwareConsortium/ITK,451,7.6,3321,20729
cnr-isti-vclab/meshlab,439,5.2,981,8703
OSGeo/gdal,433,7,2619,16094
Farama-Foundation/ViZDoom,423,5.4,786,6809
hanwckf/rt-n56u,408,3.1,1427,9474
dhewm/dhewm3,397,6.2,777,8881
0vercl0k/rp,394,5.1,103,1716
Vita3K/Vita3K,387,6.7,805,10030
gongminmin/KlayGE,361,6.1,2121,17116
ZLMediaKit/ZLMediaKit,356,6.4,220,5743
OpenDDS/OpenDDS,354,5.8,967,13382
gphoto/libgphoto2,340,7.5,241,1729
google/sandboxed-api,337,8.2,1937,24744
USBhost/MX_FFmpeg,327,4.3,1315,7146
dfranx/SHADERed,325,4.6,992,7341
SerenityOS/jakt,305,6.8,436,2312
SerenityOS/serenity,290,7,1393,13174
Stichting-MINIX-Research-Foundation/minix,289,5.2,2702,20852
DynamoRIO/drmemory,287,4.7,811,5441
casadi/casadi,277,5.6,354,3885
TASEmulators/fceux,276,5.5,232,3499
google/filament,260,5.4,2338,16792
LiangliangNan/Easy3D,259,5.6,550,4088
csound/csound,254,4.1,511,4210
coronalabs/corona,241,4.9,762,9009
coturn/coturn,217,7,217,1041
godotengine/godot,215,7.1,2892,29694
davisking/dlib,214,5.6,958,8265
bluekitchen/btstack,212,6.8,610,13788
HarbourMasters/Shipwright,209,6.7,1477,15383
apple/turicreate,203,4.4,1784,21982
adobe-type-tools/afdko,200,6.5,442,3776
Themaister/Granite,196,6.5,1752,15211
Sneeds-Feed-and-Seed/sneedacity,193,5.1,623,4724
ETLCPP/etl,193,6.3,6154,23584
beefytech/Beef,191,5.6,279,1966
git/git,187,5.4,1273,15922
containers/crun,187,7.7,247,1069
KhronosGroup/Vulkan-Samples,185,7.4,1412,11323
PX4/PX4-Autopilot,184,4.6,2,381
Kitware/ParaView,180,7.6,7227,51874
BespokeSynth/BespokeSynth,179,7.2,190,3100
bjornbytes/lovr,178,5.9,538,5674
Ettercap/ettercap,172,7.4,195,1157
SchedMD/slurm,169,7.6,1828,8652
aseprite/aseprite,167,5.3,1122,11003
WolfireGames/overgrowth,161,5.2,779,4065
google/tensorstore,158,8.4,2500,27670
BoomingTech/Piccolo,158,4.5,547,8248
generalized-intelligence/GAAS,154,3.4,270,1887
Kitware/VTK,153,7.6,7019,44443
catsout/wallpaper-engine-kde-plugin,150,6.6,518,3484
WerWolv/ImHex,150,5.5,1132,10484
eclipse-iceoryx/iceoryx,148,6.9,3,551
adishavit/argh,146,6.8,25,35
acl-dev/acl,143,6.4,261,4871
cuberite/cuberite,142,7,956,9774
TTimo/doom3.gpl,141,5.2,118,526
erich666/GraphicsGems,140,6.3,124,1103
GoSSIP-SJTU/Armariris,133,5.1,3926,37118
FreeCAD/FreeCAD,133,5.7,1431,19824
NVIDIA/Q2RTX,129,6.1,735,7036
grpc/grpc,126,7.3,746,12359
espeak-ng/espeak-ng,126,5.7,105,546
coin-or/Ipopt,126,7,88,791
MaJerle/stm32-usart-uart-dma-rx-tx,124,5,225,1820
emscripten-core/emscripten,121,8.2,123,1243
bytecodealliance/wasm-micro-runtime,119,6.4,469,5340
OpenXRay/xray-16,119,4.2,939,16617
openxla/iree,118,5.4,4459,66857
DanBloomberg/leptonica,115,5.8,959,3938
freebsd/freebsd-src,114,5,1182,8026
duckdb/duckdb,111,5.9,468,4154
Qihoo360/QConf,111,4.8,669,4131
Kitware/CMake,111,7,7987,71150
versatica/mediasoup,109,5.4,1238,11514
gcc-mirror/gcc,107,6.9,170,1291
TASEmulators/desmume,107,4.6,663,6068
Cisco-Talos/pyrebox,102,4.8,412,2423
acassen/keepalived,100,6.6,170,1363
gwaldron/osgearth,98,5.4,26,211
OpenBoardView/OpenBoardView,98,6.5,281,2547
facebookincubator/velox,94,5.3,920,15420
DanielSWolf/rhubarb-lip-sync,93,4.5,305,2450
TorqueGameEngines/Torque3D,91,4.9,1018,7050
MayaPosch/NymphCast,91,5.5,587,3031
azerothcore/azerothcore-wotlk,90,6.4,1678,15771
cgsecurity/testdisk,86,7.4,161,1297
facebookresearch/habitat-sim,84,8.9,699,7536
Sigil-Ebook/Sigil,84,6.4,570,4325
CGAL/cgal,84,5.7,10,55
OGRECave/ogre,82,6.2,367,5824
