id,date,year,bugs
2023.02.22-4243910226,2023.02.22,2023,37151
2023.02.24-4261923133,2023.02.24,2023,42823
2023.02.27-4279884759,2023.02.27,2023,42470
2023.03.02-4317602659,2023.03.02,2023,260
2023.03.03-4326398271,2023.03.03,2023,776
2023.03.05-4336559359,2023.03.05,2023,48393
