repo, bugs, ossf score, complex functions, total functions
intel/gdb,223,4.3,254,2531
intel/intel-device-resource-mgt-lib,67,4.3,226,1970
intel/fineibt_llvm,62,4.3,793,8731
intel/xpumanager,43,4.3,453,3096
intel/qatlib,37,4.3,390,1371
intel/gmmlib,26,5.3,340,1410
intel/systemc-compiler,22,5.3,32,1099
intel/intel-graphics-compiler,10,4.3,156,1170
intel/intel-ipsec-mb,9,4.3,76,531
intel/zlib,8,4.3,31,221
intel/opencl-intercept-layer,8,4.3,222,408
intel/linux-sgx,8,5.3,130,992
intel/idxd-config,8,4.3,31,205
intel/media-driver,7,4.7,13,101
intel/qpl,6,4.3,153,1131
intel/intel-extension-for-transformers,6,4.3,922,3071
intel/hexl,6,4.3,24,236
intel/IA-Hardware-Composer,6,4.7,4,117
intel/ideep,5,5.3,588,1375
intel/dptf,5,4.3,46,2248
intel/pcm,4,5.3,155,781
intel/hexl,4,,,
intel/compile-time-init-build,4,5.3,32,455
intel/DML,4,4.3,80,391
intel/libva,3,4.7,21,328
intel/isa-l,3,4.3,23,158
intel/compile-time-init-build,3,,,
intel/cm-cpu-emulation,3,5.3,7,110
intel/uintr-ipc-bench,2,5.3,0,104
intel/metee,2,5.3,3,65
intel/ipp-crypto,2,5.3,3,252
intel/iotg_tsn_ref_sw,2,4.7,4,19
intel/iotg-lin-gfx-libva,2,5.3,15,303
intel/MTMC-Temporal-Profiler,2,5.3,2,37
intel/compute-aggregation-layer,1,5.3,51,621
intel/cloud-client-ai-service-framework,1,5.3,1,15
intel/yarpgen,0,4.3,30,228
intel/thermal_daemon,0,5.3,30,335
intel/safestringlib,0,4.3,19,84
intel/safe-arithmetic,0,4.7,1,7
intel/qemu-tdx,0,4.3,10,91
intel/pti-gpu,0,5.3,4,63
intel/pailliercryptolib,0,4.7,0,66
intel/oneAPI-Ultrasound-Beamforming-Library,0,4.3,3,23
intel/linux-vpu-driver,0,4.3,37,2074
intel/libvirt-tdx,0,5.3,1311,12759
intel/libipt,0,4.3,14,475
intel/ipmctl,0,5.3,2,11
intel/intel-qs,0,4.3,21,180
intel/igsc,0,5.3,25,92
intel/hexl-fpga,0,4.3,2,69
intel/gna,0,5.3,0,5
intel/crypto-api-toolkit,0,4.3,4,219
intel/compute-benchmarks,0,5.3,129,354
intel/cm-compiler,0,5.3,0,28
intel/aubstream,0,5.3,7,126
intel/SGXDataCenterAttestationPrimitives,0,5.3,23,335
intel/Intel-Vector-Data-Streaming-Library,0,5.3,5,130
intel/BDTK,0,4.7,0,4
