espressif/ESP8266_RTOS_SDK,4.3,0,6,0
asmjit/asmjit,4.3,0,434,78
libffi/libffi,4.3,1,54,4
openai/retro,4.3,43,2355,425
tomahawk-player/tomahawk,5.3,0,26,0
aksnzhy/xlearn,4.3,1,3,0
MultiMC/Launcher,4.3,1,109,14
microsoft/SEAL,5.3,14,999,129
xoseperez/espurna,5.3,24,461,52
jerryscript-project/iotjs,5.3,0,159,6
yyzybb537/libgo,4.3,2,153,14
xelatihy/yocto-gl,5.3,37,871,111
kohler/gifsicle,5.3,24,320,41
clab/dynet,4.3,0,327,0
cnr-isti-vclab/meshlab,4.3,226,3925,433
jrouwe/JoltPhysics,4.5,11,1331,179
premake/premake-core,5.3,14,1363,190
hanwckf/rt-n56u,4.3,245,7224,1030
zeux/pugixml,4.3,0,430,30
Kobzol/hardware-effects,4.3,2,34,1
AtomicGameEngine/AtomicGameEngine,5.3,41,3786,483
kangjianwei/Data-Structure,5.3,150,2347,76
json-c/json-c,4.3,2,195,18
bytecodealliance/wasm-micro-runtime,4.3,107,4405,404
ceres-solver/ceres-solver,4.3,0,813,105
sustrik/libmill,4.9,20,337,22
stellar/stellar-core,5.3,25,662,233
slic3r/Slic3r,5.3,2,131,26
arrayfire/arrayfire,4.3,4,120,14
FeralInteractive/gamemode,5.3,0,134,38
koute/bytehound,5.3,35,1345,164
panda3d/panda3d,5.3,49,4,0
stephane/libmodbus,5.3,4,106,8
gflags/gflags,4.3,0,76,6
Tencent/TNN,4.3,16,2137,298
aircrack-ng/aircrack-ng,4.3,20,927,167
adnanaziz/EPIJudge,4.7,0,436,29
CloverHackyColor/CloverBootloader,4.3,8,268,24
patriciogonzalezvivo/glslViewer,4.3,11,131,13
actor-framework/actor-framework,4.3,0,1890,406
Neargye/magic_enum,5.3,0,17,4
cmusphinx/pocketsphinx,4.3,58,1210,149
tinyproxy/tinyproxy,4.3,8,185,12
openthread/openthread,4.3,15,3084,380
letscontrolit/ESPEasy,5.3,3,58,12
nanopb/nanopb,5.3,0,188,24
JakubVojvoda/design-patterns-cpp,5.3,2,24,0
lief-project/LIEF,5.3,6,2131,90
boostorg/beast,4.3,12,973,262
inotify-tools/inotify-tools,4.7,2,87,13
FLIF-hub/FLIF,4.3,20,239,42
MisterTea/EternalTerminal,5.3,0,262,31
janet-lang/janet,5.3,13,849,73
LongSoft/UEFITool,5.3,5,520,49
blechschmidt/massdns,5.3,4,56,6
nanomsg/nng,4.3,19,1684,95
KDE/ghostwriter,4.5,5,329,49
Lienol/openwrt,4.3,5,100,9
pytorch/glow,5.3,0,12,0
lxc/lxc,4.7,129,443,93
Tencent/Tendis,5.3,2,1180,75
dvorka/hstr,4.3,28,78,16
google/zopfli,5.3,9,319,47
werman/noise-suppression-for-voice,5.3,14,228,11
schwabe/ics-openvpn,4.3,9,107,24
varnishcache/varnish-cache,5.3,76,2911,1312
scottbez1/splitflap,4.9,0,25,2
biometrics/openbr,5.3,0,1,0
zyantific/zydis,4.3,1,374,102
ThrowTheSwitch/Unity,5.3,0,77,14
TsudaKageyu/minhook,4.9,0,16,2
oneapi-src/oneDNN,5.3,6,1536,531
CloudCompare/CloudCompare,5.3,75,974,221
jbeder/yaml-cpp,5.3,0,224,6
Cisco-Talos/clamav,4.3,4,144,32
westes/flex,5.3,15,199,30
akheron/jansson,4.3,2,156,11
acl-dev/acl,5.3,135,4643,250
Mbed-TLS/mbedtls,5.3,11,1606,234
lava/matplotlib-cpp,4.3,3,11,0
emilybache/GildedRose-Refactoring-Kata,5.3,0,4,3
buaazp/zimg,4.7,14,343,39
zeux/meshoptimizer,4.3,0,136,16
google/oboe,4.3,0,392,8
rubinius/rubinius,4.7,14,552,56
mixxxdj/mixxx,5.3,5,229,19
alandefreitas/matplotplusplus,4.3,41,611,67
ketoo/NoahGameFrame,5.3,30,2544,211
idealvin/coost,4.3,8,390,41
ChaiScript/ChaiScript,4.3,0,26,7
uncrustify/uncrustify,5.3,0,676,148
CGAL/cgal,4.3,35,14,1
homenc/HElib,4.3,17,749,43
jmpews/Dobby,4.3,5,71,13
kripken/ammo.js,5.3,30,909,86
facontidavide/PlotJuggler,4.3,0,280,5
cocos/cocos-engine,4.3,0,399,20
uber/h3,5.3,0,336,65
BespokeSynth/BespokeSynth,4.3,0,4,0
spring/spring,5.3,0,78,6
LizardByte/Sunshine,5.3,21,670,104
warmcat/libwebsockets,5.3,19,1189,150
ReactiveX/RxCpp,5.3,0,76,69
jarro2783/cxxopts,5.3,5,5,2
gnif/LookingGlass,4.3,0,588,176
OGRECave/ogre,5.3,2,2437,155
pond3r/ggpo,5.3,0,95,7
CLIUtils/CLI11,5.3,1,52,16
SanderMertens/flecs,4.3,15,4146,747
kokke/tiny-AES-c,5.3,0,12,0
projectM-visualizer/projectm,5.3,56,573,63
olikraus/u8g2,5.3,19,649,10
wenet-e2e/wenet,4.3,12,2198,202
johang/btfs,4.3,1,32,0
fastos/fastsocket,4.3,0,36,0
NixOS/patchelf,4.3,0,43,10
pbek/QOwnNotes,4.7,4,689,73
yshui/picom,4.3,10,477,107
FASTSHIFT/X-TRACK,4.3,4,1346,191
zlgopen/awtk,5.3,17,1966,279
libjpeg-turbo/libjpeg-turbo,5.3,58,772,138
heavyai/heavydb,5.3,0,74,10
bombela/backward-cpp,5.3,1,5,0
karlstav/cava,4.3,33,48,13
nesbox/TIC-80,4.7,107,7470,801
KhronosGroup/Vulkan-Samples,4.7,52,3096,525
kungfu-origin/kungfu,4.3,34,1616,180
saki4510t/UVCCamera,4.9,36,549,104
nanocurrency/nano-node,4.3,18,925,111
azerothcore/azerothcore-wotlk,5.3,50,1893,196
LibreSprite/LibreSprite,5.3,17,4255,552
Roblox/luau,5.3,12,4418,668
rizonesoft/Notepad3,4.3,0,105,10
lbryio/lbrycrd,4.7,12,154,35
chriskohlhoff/asio,4.3,2,347,108
openvinotoolkit/openvino,4.3,8,1761,374
acassen/keepalived,4.3,100,1363,170
srdja/Collections-C,4.3,0,255,5
zhaojh329/rtty,4.3,9,95,18
guanzhi/GmSSL,5.3,25,1573,249
microsoft/verona,5.3,0,114,15
cubefs/cubefs,4.3,4,908,84
F-Stack/f-stack,5.3,180,9691,961
farbrausch/fr_public,4.3,3,28,3
ericniebler/range-v3,4.3,0,139,7
xiph/rnnoise,4.3,8,45,6
abishekvashok/cmatrix,4.3,4,6,1
harfbuzz/harfbuzz,5.3,10,603,45
openvswitch/ovs,4.3,70,6428,444
jacksonliam/mjpg-streamer,5.3,26,82,17
fragglet/c-algorithms,4.3,4,148,1
danielkrupinski/Osiris,4.3,9,1189,166
openbsd/src,4.5,29,3326,199
PowerDNS/pdns,5.3,28,2525,363
dfranx/SHADERed,5.3,121,2037,381
PixarAnimationStudios/OpenSubdiv,5.3,34,754,78
opentoonz/opentoonz,4.3,48,2175,375
rime/librime,5.3,0,2,0
google/orbit,4.3,19,1134,89
ShadowsocksR-Live/shadowsocksr-native,4.3,47,2545,260
lastpass/lastpass-cli,4.3,3,301,20
Tencent/puerts,4.3,0,5,0
USCiLab/cereal,5.3,30,21,5
pistacheio/pistache,4.3,3,273,37
KwaiAppTeam/KOOM,5.3,2,367,7
Dav1dde/glad,5.3,0,25,2
yandex/odyssey,4.3,0,166,2
gaoxiang12/slambook2,4.3,0,4,0
Sunzxyong/Tiny,5.3,36,551,105
supertuxkart/stk-code,5.3,27,1182,220
OSGeo/gdal,5.3,412,12929,2115
openvenues/libpostal,4.3,138,1082,167
lc-soft/LCUI,4.3,69,1001,45
GarageGames/Torque3D,4.3,15,1995,296
PrismLauncher/PrismLauncher,5.3,4,2079,162
microsoft/msquic,5.3,0,683,128
hanickadot/compile-time-regular-expressions,4.3,0,5,0
