repo, bugs, ossf score, complex functions, total functions
intel/gdb,228,10,364,3564
intel/fineibt_llvm,119,7.7,6436,65341
intel/xpumanager,85,8.2,528,3809
intel/intel-device-resource-mgt-lib,67,10,226,1970
intel/compute-aggregation-layer,60,10,111,1253
intel/qatlib,37,10,392,1365
intel/gmmlib,26,10,340,1410
intel/systemc-compiler,22,10,32,1099
intel/ideep,14,9.3,302,1375
intel/intel-ipsec-mb,11,6,77,544
intel/intel-graphics-compiler,10,1.6,83,1170
intel/opencl-intercept-layer,9,6,222,408
intel/zlib,8,6,31,221
intel/qpl,8,10,205,1503
intel/linux-sgx,8,8.7,126,992
intel/media-driver,7,6.4,10,101
intel/intel-extension-for-transformers,6,6.8,759,5051
intel/hexl,6,6,13,236
intel/IA-Hardware-Composer,6,10,4,117
intel/dptf,5,10,46,2248
intel/pcm,4,5.6,82,781
intel/DML,4,10,68,391
intel/libva,3,7,21,325
intel/isa-l,3,9.3,23,158
intel/cm-cpu-emulation,3,10,4,110
intel/uintr-ipc-bench,2,10,0,104
intel/metee,2,10,2,65
intel/ipp-crypto,2,10,3,252
intel/iotg_tsn_ref_sw,2,10,4,19
intel/iotg-lin-gfx-libva,2,10,15,303
intel/intel-cpu-frequency-library,2,10,0,5
intel/MTMC-Temporal-Profiler,2,7.5,2,37
intel/linux-vpu-driver,1,10,32,2174
intel/compile-time-init-build,1,6.2,5,460
intel/cloud-client-ai-service-framework,1,9.5,1,15
intel/yarpgen,0,6,15,228
intel/thermal_daemon,0,10,30,335
intel/safestringlib,0,6.4,19,84
intel/safe-arithmetic,0,6.4,0,7
intel/qemu-tdx,0,9.2,10,91
intel/pti-gpu,0,10,4,63
intel/pailliercryptolib,0,6,0,68
intel/oneAPI-Ultrasound-Beamforming-Library,0,10,3,23
intel/libvirt-tdx,0,8.9,1311,12759
intel/libipt,0,10,14,475
intel/ipmctl,0,10,2,11
intel/intel-qs,0,5.8,21,180
intel/intel-extension-for-pytorch,0,9.2,0,14
intel/igsc,0,10,25,92
intel/hexl-fpga,0,6.4,2,69
intel/gna,0,10,0,5
intel/crypto-api-toolkit,0,10,4,219
intel/compute-benchmarks,0,10,131,361
intel/cm-compiler,0,9.3,0,28
intel/aubstream,0,10,4,126
intel/SGXDataCenterAttestationPrimitives,0,8.4,18,335
intel/Intel-Vector-Data-Streaming-Library,0,10,5,130
intel/BDTK,0,6.7,0,9
