stephane/libmodbus,4.3,4,106,8
abishekvashok/cmatrix,4.3,4,6,1
gflags/gflags,4.3,0,76,6
okbob/pspg,4.3,20,265,68
actor-framework/actor-framework,4.3,0,1890,406
Tencent/TNN,4.3,16,2137,298
acl-dev/acl,4.3,135,4643,250
pgbackrest/pgbackrest,4.3,16,2604,649
strasdat/Sophus,4.9,2,38,14
DynamoRIO/dynamorio,4.3,29,4277,573
mpromonet/v4l2rtspserver,4.3,24,1328,114
BinomialLLC/basis_universal,4.3,21,1211,234
AtomicGameEngine/AtomicGameEngine,5.3,41,3786,483
facontidavide/PlotJuggler,4.3,0,280,5
joncampbell123/dosbox-x,5.3,106,4160,579
Neargye/magic_enum,4.3,0,17,4
KwaiAppTeam/KOOM,4.3,2,367,7
johang/btfs,4.3,1,32,0
GarageGames/Torque3D,5.3,15,1995,296
Lienol/openwrt,4.3,5,100,9
janet-lang/janet,4.3,13,849,73
seladb/PcapPlusPlus,4.3,52,1289,139
xroche/httrack,4.3,1252,1269,317
aircrack-ng/aircrack-ng,4.7,20,927,167
CGAL/cgal,5.3,35,14,1
bytecodealliance/wasm-micro-runtime,4.9,107,4405,404
owntone/owntone-server,4.3,0,394,0
libjpeg-turbo/libjpeg-turbo,4.3,58,772,138
slic3r/Slic3r,4.3,2,131,26
vgough/encfs,4.3,0,111,5
azerothcore/azerothcore-wotlk,4.3,50,1893,196
adnanaziz/EPIJudge,5.3,0,352,27
CloverHackyColor/CloverBootloader,4.3,8,268,24
patriciogonzalezvivo/glslViewer,4.3,72,1462,254
SRombauts/SQLiteCpp,4.3,52,3709,438
mgerdes/Open-Golf,5.3,99,2159,258
Bionus/imgbrd-grabber,4.3,1,23,1
squid-cache/squid,4.3,56,5536,694
jlblancoc/nanoflann,4.3,4,24,1
aksnzhy/xlearn,4.7,1,3,0
actor-framework/actor-framework,4.3,0,1890,406
ermig1979/Simd,4.3,56,877,92
F-Stack/f-stack,4.7,180,9691,961
Neargye/magic_enum,4.3,0,17,4
NASA-SW-VnV/ikos,4.3,4,4,0
Snaipe/Criterion,4.3,19,475,75
MusicPlayerDaemon/MPD,4.3,3,2060,68
toggl-open-source/toggldesktop,4.3,45,4156,324
cmusphinx/pocketsphinx,4.3,58,1210,149
jedisct1/minisign,4.3,0,41,1
vifm/vifm,4.3,94,3640,120
raspberrypi/pico-sdk,4.3,0,470,42
tinyproxy/tinyproxy,4.3,8,185,12
PureDarwin/PureDarwin,5.3,45,551,54
PurpleI2P/i2pd,4.3,5,1031,137
ETLCPP/etl,4.3,64,12036,3146
OpenXRay/xray-16,4.3,114,2650,151
supertuxkart/stk-code,4.3,27,1182,220
wheybags/freeablo,4.3,104,5537,950
openthread/openthread,4.3,15,3084,380
Smorodov/Multitarget-tracker,5.3,8,465,47
ThrowTheSwitch/Unity,5.3,0,77,14
SergiusTheBest/plog,5.3,1,40,3
steemit/steem,4.3,10,787,110
webmproject/libwebp,5.3,1,1308,119
nanopb/nanopb,4.3,0,188,24
letscontrolit/ESPEasy,4.3,3,58,12
jbeder/yaml-cpp,4.3,0,224,6
taviso/ctypes.sh,4.3,9,269,22
lava/matplotlib-cpp,4.3,3,11,0
lsalzman/enet,5.3,0,85,14
gamelinux/passivedns,4.3,5,58,13
nanopb/nanopb,4.3,0,188,24
JakubVojvoda/design-patterns-cpp,4.3,2,24,0
unicode-org/icu,5.3,162,4514,555
open62541/open62541,4.3,0,910,84
lief-project/LIEF,4.3,6,2131,90
akheron/jansson,4.3,2,156,11
simsong/tcpflow,5.3,2,272,24
lightvector/KataGo,4.3,5,1184,349
Haivision/srt,4.3,11,619,59
srdja/Collections-C,4.3,0,255,5
nmslib/hnswlib,4.7,0,34,16
boostorg/beast,4.3,12,973,262
DefTruth/lite.ai.toolkit,4.3,12,672,11
olikraus/u8g2,4.3,19,649,10
inotify-tools/inotify-tools,4.3,2,87,13
tizonia/tizonia-openmax-il,5.3,0,93,4
facebookresearch/ELF,5.3,13,245,19
kpu/kenlm,5.3,5,487,18
FLIF-hub/FLIF,4.3,19,239,42
DFHack/dfhack,4.3,51,4426,284
MisterTea/EternalTerminal,5.3,0,262,31
FASTSHIFT/X-TRACK,4.3,4,1346,191
janet-lang/janet,4.3,13,849,73
json-c/json-c,4.3,2,195,18
opentx/opentx,5.3,4,1816,152
ceres-solver/ceres-solver,4.5,0,813,105
xelatihy/yocto-gl,4.3,37,871,111
civetweb/civetweb,4.3,0,3,0
osmc/osmc,5.3,7,201,30
ReactiveX/RxCpp,4.3,0,76,69
LongSoft/UEFITool,5.3,5,520,49
dgiese/dustcloud,4.7,8,192,20
facebookincubator/velox,4.3,44,621,85
0x90/wifi-arsenal,4.3,2,79,5
BehaviorTree/BehaviorTree.CPP,5.3,4,280,25
blechschmidt/massdns,4.3,4,56,6
nanomsg/nng,4.3,19,1684,95
intel/pcm,5.3,4,776,154
KDE/ghostwriter,4.3,5,329,49
koute/bytehound,4.3,35,1345,164
Lienol/openwrt,4.3,5,100,9
pytorch/glow,4.3,17,1758,249
kkos/oniguruma,4.3,10,594,100
lxc/lxc,5.3,129,568,81
Qihoo360/QConf,5.3,111,4137,671
PixarAnimationStudios/OpenSubdiv,4.3,34,754,78
BespokeSynth/BespokeSynth,5.3,0,4,0
Tencent/Tendis,4.3,2,1360,76
dvorka/hstr,4.3,28,78,16
statsite/statsite,4.3,4,410,9
google/zopfli,4.3,9,319,47
plibither8/2048.cpp,4.3,0,68,5
NixOS/patchelf,4.3,0,43,10
nextcloud/desktop,4.3,0,1,0
werman/noise-suppression-for-voice,5.3,14,228,11
schwabe/ics-openvpn,4.7,9,107,24
Sunzxyong/Tiny,4.3,36,551,105
scummvm/scummvm,4.3,0,104,8
varnishcache/varnish-cache,4.3,76,2912,1312
scottbez1/splitflap,4.3,0,25,2
jacksonliam/mjpg-streamer,4.3,26,82,17
intel/pcm,5.3,4,781,155
cmu-db/bustub,4.3,26,2108,647
biometrics/openbr,5.3,0,1,0
premake/premake-core,4.3,14,1363,190
harfbuzz/harfbuzz,5.3,10,603,45
hanickadot/compile-time-regular-expressions,4.3,0,5,0
zyantific/zydis,5.3,1,374,102
guillaumeblanc/ozz-animation,4.9,22,2560,494
banach-space/llvm-tutor,4.3,2,3,2
ThrowTheSwitch/Unity,5.3,0,77,14
Entware/Entware,5.3,5,104,9
TsudaKageyu/minhook,4.3,0,16,2
0ad/0ad,4.3,69,1770,246
oneapi-src/oneDNN,4.3,6,792,245
buaazp/zimg,4.3,14,343,39
CloudCompare/CloudCompare,4.3,75,974,221
xoseperez/espurna,4.3,24,461,52
simongog/sdsl-lite,5.3,20,222,65
jeremycw/httpserver.h,4.3,1,87,10
NLnetLabs/unbound,4.3,2,2390,274
google/zopfli,4.3,9,319,47
jbeder/yaml-cpp,4.3,0,224,6
Cisco-Talos/clamav,5.3,4,144,32
facebookincubator/spectrum,5.3,0,306,13
plasma-umass/Mesh,4.3,2,70,4
apache/trafficserver,4.3,20,4933,848
Slackadays/Clipboard,5.3,0,143,17
westes/flex,4.3,15,199,30
varnishcache/varnish-cache,4.3,76,2911,1312
akheron/jansson,4.3,2,156,11
PyMesh/PyMesh,4.9,2,3,0
magma/magma,5.3,0,3,0
letscontrolit/ESPEasy,4.3,3,58,12
adnanaziz/EPIJudge,5.3,0,436,29
acl-dev/acl,4.3,143,4864,261
mindspore-ai/mindspore,4.3,6,1148,134
lief-project/LIEF,4.3,6,2131,90
Mbed-TLS/mbedtls,4.3,11,1603,234
ispc/ispc,4.3,0,84,3
lava/matplotlib-cpp,4.3,3,11,0
AcademySoftwareFoundation/openvdb,4.3,3,229,26
facebookresearch/habitat-sim,4.3,23,3418,335
userver-framework/userver,4.3,0,1,0
inotify-tools/inotify-tools,4.3,2,87,13
acassen/keepalived,4.3,100,1363,170
openthread/openthread,4.3,15,3084,380
dvorka/hstr,4.3,28,78,16
emilybache/GildedRose-Refactoring-Kata,5.3,0,4,3
CloverHackyColor/CloverBootloader,4.3,8,268,24
steveicarus/iverilog,4.3,220,5073,401
cossacklabs/themis,5.3,0,283,16
buaazp/zimg,4.3,14,343,39
TrungNguyen1909/qemu-t8030,5.3,0,127,11
arkdb/inception,4.3,19,435,20
zeux/meshoptimizer,4.3,0,136,16
XMuli/QtExamples,5.3,0,4,0
heavyai/heavydb,4.3,0,74,10
hosseinmoein/DataFrame,5.3,0,25,2
kangjianwei/Data-Structure,4.3,150,2347,76
google/oboe,4.9,0,392,8
c-ares/c-ares,4.3,5,282,48
google/oboe,4.9,0,392,8
rubinius/rubinius,4.3,14,552,56
Mbed-TLS/mbedtls,4.3,11,1606,234
doyubkim/fluid-engine-dev,4.3,0,652,249
ccache/ccache,4.3,7,847,224
Benjamin-Dobell/Heimdall,4.3,3,10,0
rubinius/rubinius,4.3,14,552,56
mixxxdj/mixxx,4.3,5,229,19
alandefreitas/matplotplusplus,4.3,41,611,67
ketoo/NoahGameFrame,4.3,30,2544,211
PixlOne/logiops,4.3,0,440,68
grame-cncm/faust,4.3,3,62,2
idealvin/coost,4.3,8,390,41
layoutBox/FlexLayout,5.3,2,3,0
PowerDNS/pdns,4.3,28,2525,363
ihhub/fheroes2,5.3,4,2791,319
ChaiScript/ChaiScript,5.3,0,26,7
OGRECave/ogre,4.3,2,2437,155
tomahawk-player/tomahawk,4.3,0,26,0
BrunoLevy/learn-fpga,4.3,10,534,60
uncrustify/uncrustify,4.3,0,676,148
CGAL/cgal,5.3,69,67,4
homenc/HElib,4.3,14,749,43
eranif/codelite,5.3,0,185,3
rspamd/rspamd,4.3,0,101,10
cubefs/cubefs,4.3,4,908,84
KDE/heaptrack,4.3,6,3,0
yyzybb537/libgo,4.3,2,153,14
jmpews/Dobby,4.3,5,71,13
ZDoom/gzdoom,5.3,3,1013,228
google/cpu_features,4.7,0,45,0
pond3r/ggpo,4.3,0,95,7
apple/swift-corelibs-libdispatch,4.3,8,516,34
yshui/picom,4.3,10,477,107
kripken/ammo.js,4.3,30,909,86
LibrePCB/LibrePCB,4.3,19,1209,116
facontidavide/PlotJuggler,4.3,6,2940,121
dog-qiuqiu/MobileNet-Yolo,4.3,55,755,72
madMAx43v3r/chia-plotter,4.3,9,1566,142
zhaojh329/rtty,4.3,9,95,18
hunspell/hunspell,4.3,12,306,72
libffi/libffi,4.3,1,54,4
AshampooSystems/boden,4.3,1,250,25
DPDK/dpdk,5.3,0,7456,577
nanomsg/nng,4.3,19,1684,95
cocos/cocos-engine,5.3,0,399,20
yuanming-hu/taichi_mpm,4.3,0,37,3
zeux/meshoptimizer,4.3,0,136,16
USCiLab/cereal,4.3,30,21,5
uber/h3,4.3,0,336,65
cryfs/cryfs,4.3,14,2423,91
liuyubobobo/Play-Leetcode,5.3,25,1706,40
MisterTea/EternalTerminal,5.3,0,262,31
alecthomas/entityx,4.3,1,17,2
BespokeSynth/BespokeSynth,5.3,0,4,0
bombela/backward-cpp,4.3,1,5,0
baidu/AnyQ,4.3,0,155,2
saki4510t/UVCCamera,4.3,36,549,104
ggerganov/imtui,4.3,11,788,118
spring/spring,4.3,0,78,6
LizardByte/Sunshine,4.3,23,670,104
yuesong-feng/30dayMakeCppServer,4.3,1,124,13
opentoonz/opentoonz,4.3,48,2175,375
kokke/tiny-AES-c,4.3,0,12,0
McNopper/OpenGL,5.3,0,198,14
warmcat/libwebsockets,4.9,19,1189,150
ReactiveX/RxCpp,4.3,0,76,69
espeak-ng/espeak-ng,4.3,126,546,105
ptitSeb/box64,5.3,137,5502,322
SanderMertens/flecs,5.3,15,4146,747
