repo, bugs, ossf score, complex functions, total functions
GStreamer/gstreamer,1262,5.4,13758,71395
YannickJadoul/Parselmouth,721,5.5,2196,13653
IntelRealSense/librealsense,715,6.7,454,5813
F-Stack/f-stack,551,6.7,2787,33539
google/sandboxed-api,481,8.2,2711,34221
RfidResearchGroup/proxmark3,479,6.7,1032,8476
BrunoLevy/geogram,464,5.5,1004,6677
bitnine-oss/agensgraph,461,5.8,3194,15814
OSGeo/gdal,433,6.2,2607,16034
Vita3K/Vita3K,428,6.7,805,10029
Farama-Foundation/ViZDoom,423,5.4,786,6809
hanwckf/rt-n56u,408,3.1,1427,9474
0vercl0k/rp,394,5,103,1716
OpenDDS/OpenDDS,377,5.8,967,13382
ZLMediaKit/ZLMediaKit,356,6.3,220,5737
gphoto/libgphoto2,340,7.5,241,1729
USBhost/MX_FFmpeg,327,4.3,1315,7146
SerenityOS/jakt,305,6.7,436,2310
InsightSoftwareConsortium/ITK,291,7.7,2905,17523
Stichting-MINIX-Research-Foundation/minix,289,5.2,2702,20852
DynamoRIO/drmemory,287,4.7,811,5441
casadi/casadi,277,5.6,354,3885
LiangliangNan/Easy3D,259,5.6,550,4088
csound/csound,254,4.1,510,4206
google/filament,242,5.6,2307,16583
apple/turicreate,238,4.4,1851,23089
coronalabs/corona,235,4.9,760,9003
borglab/gtsam,228,6.5,394,5671
coturn/coturn,202,7,195,982
adobe-type-tools/afdko,200,6.5,442,3776
Themaister/Granite,196,6.5,1752,15211
BespokeSynth/BespokeSynth,196,7.2,190,3100
Sneeds-Feed-and-Seed/sneedacity,193,5.1,623,4724
ETLCPP/etl,193,6.3,6154,23584
beefytech/Beef,191,5.6,279,1966
containers/crun,187,7.7,247,1067
KhronosGroup/Vulkan-Samples,185,7.4,1412,11323
PX4/PX4-Autopilot,184,4.6,2,381
bjornbytes/lovr,178,5.9,538,5674
bluekitchen/btstack,173,6.8,503,11381
SchedMD/slurm,169,7.6,1831,8653
davisking/dlib,165,5.6,764,6657
Kitware/VTK,164,7.6,7122,45263
aseprite/aseprite,162,5.4,1050,10529
WolfireGames/overgrowth,161,5.2,779,4065
google/tensorstore,158,8.4,2500,27679
BoomingTech/Piccolo,158,4.5,547,8248
baldurk/renderdoc,154,5.4,38,688
WerWolv/ImHex,150,5.3,1133,10485
adishavit/argh,146,6.8,25,35
acl-dev/acl,143,6.4,261,4871
cuberite/cuberite,142,7.1,956,9774
hoffstadt/DearPyGui,141,5.8,1118,10156
TTimo/doom3.gpl,141,5.2,118,526
GoSSIP-SJTU/Armariris,133,5.1,3926,37118
NVIDIA/Q2RTX,129,6.1,735,7036
coin-or/Ipopt,126,7,88,791
MaJerle/stm32-usart-uart-dma-rx-tx,124,5,225,1820
bytecodealliance/wasm-micro-runtime,119,6.4,469,5340
OpenXRay/xray-16,119,4.2,939,16617
Kitware/CMake,118,7,6417,57208
ptitSeb/box86,114,5.4,318,4533
DanBloomberg/leptonica,114,5.8,957,3936
Qihoo360/QConf,111,4.8,669,4131
TASEmulators/desmume,107,4.6,663,6068
Cisco-Talos/pyrebox,102,4.8,412,2423
acassen/keepalived,100,6.6,170,1363
gwaldron/osgearth,98,5.5,26,211
DanielSWolf/rhubarb-lip-sync,93,4.5,305,2450
CGAL/cgal,92,5.8,9,120
TorqueGameEngines/Torque3D,91,4.9,1017,7027
MayaPosch/NymphCast,91,5.5,587,3031
cgsecurity/testdisk,85,7.4,158,1272
patriciogonzalezvivo/glslViewer,83,5.7,148,1601
OGRECave/ogre,82,6,367,5817
Blizzard/s2client-api,80,6.5,410,4759
confluentinc/librdkafka,78,8.8,334,1851
POV-Ray/povray,78,4.3,220,1324
curv3d/curv,77,5,204,2598
CloudCompare/CloudCompare,75,5.7,221,974
Gargaj/Bonzomatic,73,4.9,175,1985
liballeg/allegro5,72,6.8,189,2508
colmap/colmap,71,6.4,108,1558
alibaba/AliOS-Things,70,5,701,5958
DeaDBeeF-Player/deadbeef,70,6,419,1793
0ad/0ad,69,5.7,246,1770
Aloshi/EmulationStation,68,6.4,52,1253
DefTruth/lite.ai.toolkit,66,4.3,21,1148
MRPT/mrpt,65,6.1,272,4542
LouisBrunner/valgrind-macos,65,5.9,1123,7840
google/swiftshader,63,7.6,2587,23945
floooh/sokol,62,6.4,336,1389
danmar/cppcheck,62,6.1,489,2437
arangodb/arangodb,61,6.1,276,2470
ComodoSecurity/openedr,60,5.4,256,2689
cmusphinx/pocketsphinx,58,6.3,149,1210
facebook/mysql-5.6,57,8.3,93,1059
coolsnowwolf/lede,57,5.6,86,437
Z3Prover/z3,56,6.6,755,13713
RoaringBitmap/CRoaring,55,6.3,50,686
ProtonVPN/android-app,55,6.2,667,3584
LibVNC/libvncserver,55,7.3,77,480
alliedmodders/sourcemod,53,6.3,133,625
WAVM/WAVM,53,5.5,113,3820
capnproto/capnproto,52,7.3,271,4730
