intel/media-driver,5.3,7,101,13
intel/linux-vpu-driver,4.3,0,2074,37
intel/aubstream,4.3,0,126,7
intel/intel-qs,5.3,0,180,21
intel/pailliercryptolib,5.3,0,66,0
intel/intel-ipsec-mb,5.3,0,485,76
intel/oneAPI-Ultrasound-Beamforming-Library,4.3,0,23,3
intel/hexl-fpga,4.9,0,69,2
intel/dptf,5.3,5,1969,32
intel/intel-extension-for-transformers,5.3,6,4482,1451
intel/xpumanager,5.3,43,2818,414
intel/ipmctl,4.3,0,11,2
intel/MTMC-Temporal-Profiler,5.3,2,37,2
intel/compute-aggregation-layer,4.3,1,296,76
intel/hexl,4.3,6,236,24
intel/qpl,4.3,8,1391,206
intel/zlib,5.3,8,221,31
intel/DML,5.3,4,391,80
intel/gdb,5.3,223,2450,266
intel/systemc-compiler,4.9,21,1099,32
intel/pcm,5.3,4,776,154
intel/compile-time-init-build,4.3,4,455,32
intel/cloud-client-ai-service-framework,4.9,1,15,1
intel/thermal_daemon,5.3,0,335,30
intel/gna,4.3,0,5,0
intel/SGXDataCenterAttestationPrimitives,4.3,0,273,18
intel/uintr-ipc-bench,4.3,2,104,0
intel/igsc,5.3,0,92,25
intel/ideep,4.3,5,1375,588
intel/gmmlib,4.3,26,1410,340
intel/safe-arithmetic,4.3,0,7,1
intel/qemu-tdx,5.3,0,91,10
intel/compute-benchmarks,5.3,0,353,129
intel/BDTK,4.3,0,4,0
intel/IA-Hardware-Composer,4.9,6,117,4
intel/yarpgen,5.3,0,228,30
intel/qatlib,4.5,37,1371,390
intel/crypto-api-toolkit,4.9,0,219,4
intel/Intel-Vector-Data-Streaming-Library,4.9,0,130,5
intel/metee,4.7,2,65,3
intel/iotg-lin-gfx-libva,4.7,2,303,15
intel/safestringlib,4.9,0,84,19
intel/linux-sgx,4.3,8,992,130
intel/fineibt_llvm,5.3,45,6468,555
intel/libipt,5.3,0,475,14
intel/cm-cpu-emulation,4.3,3,109,7
intel/intel-device-resource-mgt-lib,5.3,67,1970,226
intel/libva,4.9,3,328,21
intel/iotg_tsn_ref_sw,4.3,2,19,4
intel/isa-l,4.3,3,158,23
intel/ipp-crypto,5.3,2,252,3
intel/cm-compiler,5.3,0,28,0
intel/opencl-intercept-layer,5.3,8,408,222
intel/intel-graphics-compiler,5.3,10,1170,156
